Date,P,t
2015-01-04,17737.37,1
2015-01-11,17511.57,2
2015-01-18,17672.6,3
2015-01-25,17164.95,4
2015-02-01,17824.29,5
2015-02-08,18019.35,6
2015-02-15,18140.44,7
2015-02-22,18132.7,8
2015-03-01,17856.78,9
2015-03-08,17749.31,10
2015-03-15,18127.65,11
2015-03-22,17712.66,12
2015-03-29,17763.24,13
2015-04-05,18057.65,14
2015-04-12,17826.3,15
2015-04-19,18080.14,16
2015-04-26,18024.06,17
2015-05-03,18191.11,18
2015-05-10,18272.56,19
2015-05-17,18232.02,20
2015-05-24,18010.68,21
2015-05-31,17849.46,22
2015-06-07,17898.84,23
2015-06-14,18015.95,24
2015-06-21,17946.68,25
2015-06-28,17730.11,26
2015-07-05,17760.41,27
2015-07-12,18086.45,28
2015-07-19,17568.53,29
2015-07-26,17689.86,30
2015-08-02,17373.38,31
2015-08-09,17477.4,32
2015-08-16,16459.75,33
2015-08-23,16643.01,34
2015-08-30,16102.38,35
2015-09-06,16433.09,36
2015-09-13,16384.58,37
2015-09-20,16314.67,38
2015-09-27,16472.37,39
2015-10-04,17084.49,40
2015-10-11,17215.97,41
2015-10-18,17646.7,42
2015-10-25,17663.54,43
2015-11-01,17910.33,44
2015-11-08,17245.24,45
2015-11-15,17823.81,46
2015-11-22,17798.49,47
2015-11-29,17847.63,48
2015-12-06,17265.21,49
2015-12-13,17128.55,50
2015-12-20,17552.17,51
2015-12-27,17425.03,52
2016-01-03,16346.45,53
2016-01-10,15988.08,54
2016-01-17,16093.51,55
2016-01-24,16466.3,56
2016-01-31,16204.97,57
2016-02-07,15973.84,58
2016-02-14,16391.99,59
2016-02-21,16639.97,60
2016-02-28,17006.77,61
2016-03-06,17213.31,62
2016-03-13,17602.3,63
2016-03-20,17515.73,64
2016-03-27,17792.75,65
2016-04-03,17576.96,66
2016-04-10,17897.46,67
2016-04-17,18003.75,68
2016-04-24,17773.64,69
2016-05-01,17740.63,70
2016-05-08,17535.32,71
2016-05-15,17500.94,72
2016-05-22,17873.22,73
2016-05-29,17807.06,74
2016-06-05,17865.34,75
2016-06-12,17675.16,76
2016-06-19,17400.75,77
2016-06-26,17949.37,78
2016-07-03,18146.74,79
2016-07-10,18516.55,80
2016-07-17,18570.85,81
2016-07-24,18432.24,82
2016-07-31,18543.53,83
2016-08-07,18576.47,84
2016-08-14,18552.57,85
2016-08-21,18395.4,86
2016-08-28,18491.96,87
2016-09-04,18085.45,88
2016-09-11,18123.8,89
2016-09-18,18261.45,90
2016-09-25,18308.15,91
2016-10-02,18240.49,92
2016-10-09,18138.38,93
2016-10-16,18145.71,94
2016-10-23,18161.19,95
2016-10-30,17888.28,96
2016-11-06,18847.66,97
2016-11-13,18867.93,98
2016-11-20,19152.14,99
2016-11-27,19170.42,100
2016-12-04,19756.85,101
2016-12-11,19843.41,102
2016-12-18,19933.81,103
2016-12-25,19762.6,104
2017-01-01,19963.8,105
2017-01-08,19885.73,106
2017-01-15,19827.25,107
2017-01-22,20093.78,108
2017-01-29,20071.46,109
2017-02-05,20269.37,110
2017-02-12,20624.05,111
2017-02-19,20821.76,112
2017-02-26,21005.71,113
2017-03-05,20902.98,114
2017-03-12,20914.62,115
2017-03-19,20596.72,116
2017-03-26,20663.22,117
2017-04-02,20656.1,118
2017-04-09,20453.25,119
2017-04-16,20547.76,120
2017-04-23,20940.51,121
2017-04-30,21006.94,122
2017-05-07,20896.61,123
2017-05-14,20804.84,124
2017-05-21,21080.28,125
2017-05-28,21206.29,126
2017-06-04,21271.97,127
2017-06-11,21384.28,128
2017-06-18,21394.76,129
2017-06-25,21349.63,130
2017-07-02,21414.34,131
2017-07-09,21637.74,132
2017-07-16,21580.07,133
2017-07-23,21830.31,134
2017-07-30,22092.81,135
2017-08-06,21858.32,136
2017-08-13,21674.51,137
2017-08-20,21813.67,138
2017-08-27,21987.56,139
2017-09-03,21797.79,140
2017-09-10,22268.34,141
2017-09-17,22349.59,142
2017-09-24,22405.09,143
2017-10-01,22773.67,144
2017-10-08,22871.72,145
2017-10-15,23328.63,146
2017-10-22,23434.19,147
2017-10-29,23539.19,148
2017-11-05,23422.21,149
2017-11-12,23358.24,150
2017-11-19,23557.99,151
2017-11-26,24231.59,152
2017-12-03,24329.16,153
2017-12-10,24651.74,154
2017-12-17,24754.06,155
2017-12-24,24719.22,156
2017-12-31,25295.87,157
2018-01-07,25803.19,158
2018-01-14,26071.72,159
2018-01-21,26616.71,160
2018-01-28,25520.96,161
2018-02-04,24190.9,162
2018-02-11,25219.38,163
2018-02-18,25309.99,164
2018-02-25,24538.06,165
2018-03-04,25335.74,166
2018-03-11,24946.51,167
2018-03-18,23533.2,168
2018-03-25,24103.11,169
2018-04-01,23932.76,170
2018-04-08,24360.14,171
2018-04-15,24462.94,172
2018-04-22,24311.19,173
2018-04-29,24262.51,174
2018-05-06,24831.17,175
2018-05-13,24715.09,176
2018-05-20,24753.09,177
2018-05-27,24635.21,178
2018-06-03,25316.53,179
2018-06-10,25090.48,180
2018-06-17,24580.89,181
2018-06-24,24271.41,182
2018-07-01,24456.48,183
2018-07-08,25019.41,184
2018-07-15,25058.12,185
2018-07-22,25451.06,186
2018-07-29,25462.58,187
2018-08-05,25313.14,188
2018-08-12,25669.32,189
2018-08-19,25790.35,190
2018-08-26,25964.82,191
2018-09-02,25916.54,192
2018-09-09,26154.67,193
2018-09-16,26743.5,194
2018-09-23,26458.31,195
2018-09-30,26447.05,196
2018-10-07,25339.99,197
2018-10-14,25444.34,198
2018-10-21,24688.31,199
2018-10-28,25270.83,200
2018-11-04,25989.3,201
2018-11-11,25413.22,202
2018-11-18,24285.95,203
2018-11-25,25538.46,204
2018-12-02,24388.95,205
2018-12-09,24100.51,206
2018-12-16,22445.37,207
2018-12-23,23062.4,208
2018-12-30,23433.16,209
2019-01-06,23995.95,210
2019-01-13,24706.35,211
2019-01-20,24737.2,212
2019-01-27,25063.89,213
2019-02-03,25106.33,214
2019-02-10,25883.25,215
2019-02-17,26031.81,216
2019-02-24,26026.32,217
2019-03-03,25450.24,218
2019-03-10,25848.87,219
2019-03-17,25502.32,220
2019-03-24,25928.68,221
2019-03-31,26424.99,222
2019-04-07,26412.3,223
2019-04-14,26559.54,224
2019-04-21,26543.33,225
2019-04-28,26504.95,226
2019-05-05,25942.37,227
2019-05-12,25764.0,228
2019-05-19,25585.69,229
2019-05-26,24815.04,230
2019-06-02,25983.94,231
2019-06-09,26089.61,232
2019-06-16,26719.13,233
2019-06-23,26599.96,234
2019-06-30,26922.12,235
2019-07-07,27332.03,236
2019-07-14,27154.2,237
2019-07-21,27192.45,238
2019-07-28,26485.01,239
2019-08-04,26287.44,240
2019-08-11,25886.01,241
2019-08-18,25628.9,242
2019-08-25,26403.28,243
2019-09-01,26797.46,244
2019-09-08,27219.52,245
2019-09-15,26935.07,246
2019-09-22,26820.25,247
2019-09-29,26573.72,248
2019-10-06,26816.59,249
2019-10-13,26770.2,250
2019-10-20,26958.06,251
2019-10-27,27347.36,252
2019-11-03,27681.24,253
2019-11-10,28004.89,254
2019-11-17,27875.62,255
2019-11-24,28051.41,256
2019-12-01,28015.06,257
2019-12-08,28135.38,258
2019-12-15,28455.09,259
2019-12-22,28645.26,260
2019-12-29,28634.88,261
2020-01-05,28823.77,262
2020-01-12,29348.1,263
2020-01-19,28989.73,264
2020-01-26,28256.03,265
2020-02-02,29102.51,266
2020-02-09,29398.08,267
2020-02-16,28992.41,268
2020-02-23,25409.36,269
2020-03-01,25864.78,270
2020-03-08,23185.62,271
2020-03-15,19173.98,272
2020-03-22,21636.78,273
2020-03-29,21052.53,274
2020-04-05,23719.37,275
2020-04-12,24242.49,276
2020-04-19,23775.27,277
2020-04-26,23723.69,278
2020-05-03,24331.32,279
2020-05-10,23685.42,280
2020-05-17,24465.16,281
2020-05-24,25383.11,282
2020-05-31,27110.98,283
2020-06-07,25605.54,284
2020-06-14,25871.46,285
2020-06-21,25015.55,286
2020-06-28,25827.36,287
2020-07-05,26075.3,288
2020-07-12,26671.95,289
2020-07-19,26469.89,290
2020-07-26,26428.32,291
2020-08-02,27433.48,292
2020-08-09,27931.02,293
2020-08-16,27930.33,294
2020-08-23,28653.87,295
2020-08-30,28133.31,296
2020-09-06,27665.64,297
2020-09-13,27657.42,298
2020-09-20,27173.96,299
2020-09-27,27682.81,300
2020-10-04,28586.9,301
2020-10-11,28606.31,302
2020-10-18,28335.57,303
2020-10-25,26501.6,304
2020-11-01,28323.4,305
2020-11-08,29479.81,306
2020-11-15,29263.48,307
2020-11-22,29910.37,308
2020-11-29,30218.26,309
2020-12-06,30046.37,310
2020-12-13,30179.05,311
2020-12-20,30199.87,312
2020-12-27,30606.48,313
2021-01-03,31097.97,314
2021-01-10,30814.26,315
2021-01-17,30996.98,316
2021-01-24,29982.62,317
2021-01-31,31148.24,318
2021-02-07,31458.4,319
2021-02-14,31494.32,320
2021-02-21,30932.37,321
2021-02-28,31496.3,322
2021-03-07,32778.64,323
2021-03-14,32627.97,324
2021-03-21,33072.88,325
2021-03-28,33153.21,326
2021-04-04,33800.6,327
2021-04-11,34200.67,328
2021-04-18,34043.49,329
2021-04-25,33874.85,330
2021-05-02,34777.76,331
2021-05-09,34382.13,332
2021-05-16,34207.84,333
2021-05-23,34529.45,334
2021-05-30,34756.39,335
2021-06-06,34479.6,336
2021-06-13,33290.08,337
2021-06-20,34433.84,338
2021-06-27,34786.35,339
2021-07-04,34870.16,340
2021-07-11,34687.85,341
2021-07-18,35061.55,342
2021-07-25,34935.47,343
2021-08-01,35208.51,344
2021-08-08,35515.38,345
2021-08-15,35120.08,346
2021-08-22,35455.8,347
2021-08-29,35369.09,348
2021-09-05,34607.72,349
2021-09-12,34584.88,350
2021-09-19,34798.0,351
2021-09-26,34326.46,352
2021-10-03,34746.25,353
2021-10-10,35294.76,354
2021-10-17,35677.02,355
2021-10-24,35819.56,356
2021-10-31,36327.95,357
2021-11-07,36100.31,358
2021-11-14,35601.98,359
2021-11-21,34899.34,360
2021-11-28,34580.08,361
2021-12-05,35970.99,362
2021-12-12,35365.44,363
2021-12-19,35950.56,364
2021-12-26,36338.3,365
2022-01-02,36231.66,366
2022-01-09,35911.81,367
2022-01-16,34265.37,368
2022-01-23,34725.47,369
2022-01-30,35089.74,370
2022-02-06,34738.06,371
2022-02-13,34079.18,372
2022-02-20,34058.75,373
2022-02-27,33614.8,374
2022-03-06,32944.19,375
2022-03-13,34754.93,376
2022-03-20,34861.24,377
2022-03-27,34818.27,378
2022-04-03,34721.12,379
2022-04-10,34451.23,380
2022-04-17,33811.4,381
2022-04-24,32977.21,382
2022-05-01,32899.37,383
2022-05-08,32196.66,384
2022-05-15,31261.9,385
2022-05-22,33212.96,386
2022-05-29,32899.7,387
2022-06-05,31392.79,388
2022-06-12,29888.78,389
2022-06-19,31500.68,390
2022-06-26,31097.26,391
2022-07-03,31338.15,392
2022-07-10,31288.26,393
2022-07-17,31899.29,394
2022-07-24,32845.13,395
2022-07-31,32803.47,396
2022-08-07,33761.05,397
2022-08-14,33706.74,398
2022-08-21,32283.4,399
2022-08-28,31318.44,400
2022-09-04,32151.71,401
2022-09-11,30822.42,402
2022-09-18,29590.41,403
2022-09-25,28725.51,404
2022-10-02,29296.79,405
2022-10-09,29634.83,406
2022-10-16,31082.56,407
2022-10-23,32861.8,408
2022-10-30,32403.22,409
2022-11-06,33747.86,410
2022-11-13,33745.69,411
2022-11-20,34347.03,412
2022-11-27,34429.88,413
2022-12-04,33476.46,414
2022-12-11,32920.46,415
2022-12-18,33203.93,416
2022-12-25,33147.25,417
2023-01-01,33630.61,418
2023-01-08,34302.61,419
2023-01-15,33375.49,420
2023-01-22,33978.08,421
2023-01-29,33926.01,422
2023-02-05,33869.27,423
2023-02-12,33826.69,424
2023-02-19,32816.92,425
2023-02-26,33390.97,426
2023-03-05,31909.64,427
2023-03-12,31861.98,428
2023-03-19,32237.53,429
2023-03-26,33274.15,430
2023-04-02,33485.29,431
2023-04-09,33886.47,432
2023-04-16,33808.96,433
2023-04-23,34098.16,434
2023-04-30,33674.38,435
2023-05-07,33300.62,436
2023-05-14,33426.63,437
2023-05-21,33093.34,438
2023-05-28,33762.76,439
2023-06-04,33876.78,440
2023-06-11,34299.12,441
2023-06-18,33727.43,442
2023-06-25,34407.6,443
2023-07-02,33734.88,444
2023-07-09,34509.03,445
2023-07-16,35227.69,446
2023-07-23,35459.29,447
2023-07-30,35065.62,448
2023-08-06,35281.4,449
2023-08-13,34500.66,450
2023-08-20,34346.9,451
2023-08-27,34837.71,452
2023-09-03,34576.59,453
2023-09-10,34618.24,454
2023-09-17,33963.84,455
2023-09-24,33507.5,456
2023-10-01,33407.58,457
2023-10-08,33670.29,458
2023-10-15,33127.28,459
2023-10-22,32417.59,460
2023-10-29,34061.32,461
2023-11-05,34283.1,462
2023-11-12,34947.28,463
2023-11-19,35390.15,464
2023-11-26,36245.5,465
2023-12-03,36247.87,466
2023-12-10,37305.16,467
2023-12-17,37385.97,468
2023-12-24,37689.54,469
2023-12-31,37466.11,470
2024-01-07,37592.98,471
2024-01-14,37863.8,472
2024-01-21,38109.43,473
2024-01-28,38654.42,474
2024-02-04,38671.69,475
2024-02-11,38627.99,476
2024-02-18,39131.53,477
2024-02-25,39087.38,478
2024-03-03,38722.69,479
2024-03-10,38714.77,480
2024-03-17,39475.9,481
2024-03-24,39807.37,482
2024-03-31,38904.04,483
2024-04-07,37983.24,484
2024-04-14,37986.4,485
2024-04-21,38239.66,486
2024-04-28,38675.68,487
2024-05-05,39512.84,488
2024-05-12,40003.59,489
2024-05-19,39069.59,490
2024-05-26,38686.32,491
2024-06-02,38798.99,492
2024-06-09,38589.16,493
2024-06-16,39150.33,494
2024-06-23,39118.86,495
2024-06-30,39375.87,496
2024-07-07,40000.9,497
2024-07-14,40287.53,498
2024-07-21,40589.34,499
2024-07-28,39737.26,500
2024-08-04,39497.54,501
2024-08-11,40659.76,502
2024-08-18,41175.08,503
2024-08-25,41563.08,504
2024-09-01,40345.41,505
2024-09-08,41393.78,506
2024-09-15,42063.36,507
2024-09-22,42313.0,508
2024-09-29,42352.75,509
2024-10-06,42863.86,510
2024-10-13,43275.91,511
2024-10-20,42114.4,512
2024-10-27,42052.19,513
2024-11-03,43988.99,514
2024-11-10,43444.99,515
2024-11-17,44296.51,516
2024-11-24,44910.65,517
2024-12-01,44642.52,518
2024-12-08,43828.06,519
2024-12-15,42840.26,520
2024-12-22,42992.21,521
2024-12-29,42732.13,522
2025-01-05,41938.45,523
2025-01-12,43487.83,524
2025-01-19,44424.25,525
2025-01-26,44544.66,526
2025-02-02,44303.4,527
2025-02-09,44546.08,528
2025-02-16,43428.02,529
2025-02-23,43840.91,530
2025-03-02,42801.72,531
2025-03-09,41488.19,532
2025-03-16,41985.35,533
2025-03-23,41583.9,534
2025-03-30,38314.86,535
2025-04-06,40212.71,536
2025-04-13,39142.23,537
2025-04-20,40113.5,538
2025-04-27,41317.43,539
2025-05-04,41249.38,540
2025-05-11,42654.74,541
2025-05-18,41603.07,542
2025-05-25,42270.07,543
2025-06-01,42762.87,544
2025-06-08,42197.79,545
2025-06-15,42206.82,546
2025-06-22,43819.27,547
2025-06-29,44828.53,548
2025-07-06,44371.51,549
2025-07-13,44342.19,550
2025-07-20,44901.92,551
2025-07-27,43588.58,552
2025-08-03,44175.61,553
2025-08-10,44946.12,554
2025-08-17,45631.74,555
2025-08-24,45544.88,556
2025-08-31,45400.86,557
2025-09-07,45834.22,558
2025-09-14,46315.27,559
2025-09-21,46247.29,560
2025-09-28,46758.28,561
2025-10-05,45479.6,562
2025-10-12,46190.61,563
2025-10-19,47207.12,564
2025-10-26,47562.87,565
2025-11-02,46987.1,566
2025-11-09,47147.48,567
2025-11-16,46245.41,568
2025-11-23,47427.12,569
